Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC
Random Forest,0.7697228144989339,0.55,0.7352941176470589,0.6292906178489702,0.8326146264190795,0.6346076975262213,0.47763098987508934
XGBoost,0.7683013503909026,0.55,0.7058823529411765,0.6182669789227166,0.8333160774650439,0.63752254394997,0.46290501954065655
Logistic Regression,0.7348969438521677,0.5008605851979346,0.7780748663101604,0.6094240837696335,0.8350360561367907,0.6503683661937099,0.44623179912409033
Decision Tree,0.746268656716418,0.5163776493256262,0.7165775401069518,0.6002239641657335,0.8103946762195153,0.5451303586535892,0.43361446794241487
